engine,workload,durability,threads,n,qps_mean,qps_std,p50_mean,p50_std,p95_mean,p95_std,p99_mean,p99_std,max_mean,max_std,failures_total
redline,secondary-index-read,normal,16,5,544.7797260559322,151.26320503521555,30223.0,10806.587620521104,41208.6,14911.221438902985,47691.8,22261.42967556217,52946.2,24976.8414976754,0
redline,secondary-index-read,normal,32,5,964.8031284357041,165.4475079583424,29675.8,3914.2553825727823,45343.0,12115.89897613875,49426.2,13411.104175272072,57535.0,12510.567692954624,0
redline,secondary-index-read,normal,64,5,1342.9658268475164,106.44651511036066,44837.4,3701.3225744320093,54328.6,5445.70994453432,62066.2,7401.503847192138,71141.4,2512.601201941924,0
redline,secondary-index-read,normal,128,5,882.2733470960832,15.486343260176296,134296.6,1912.3045782510687,166399.0,4362.340656115704,201445.4,13796.535681104877,233112.6,20077.321255585863,0
redline,secondary-index-read,strict,1,5,69.86942656951308,13.852444115424992,13989.4,3686.7911250842512,20911.0,5299.563755631212,25503.0,6057.569149419592,30991.0,9915.779747453047,0
redline,secondary-index-read,strict,2,5,85.22532285781705,14.251115453379738,19643.8,1966.1584880166706,35199.0,6790.487464092691,42021.4,11064.746757156261,49067.8,8280.478440283507,0
redline,secondary-index-read,strict,4,5,128.2011139058057,24.18235860558624,28898.2,5873.595423588519,41903.0,6066.068248874224,47199.0,6529.803672393221,52171.8,8817.51275587396,0
redline,secondary-index-read,strict,8,5,199.35451900497975,33.30964633099231,37000.6,6014.01669435661,50834.2,2481.042361589177,59115.8,2589.2924129962616,71103.0,4891.501201062921,0
redline,secondary-index-read,strict,16,5,488.945544303119,142.72128047252906,33384.6,10111.301241680025,42594.2,13227.783608753205,45976.6,15666.041133611261,54181.4,21783.133585414198,0
redline,secondary-index-read,strict,32,5,859.5159816548381,181.70833409003373,37733.4,8197.104659573404,45922.2,11856.865825335124,48709.4,12605.611956585051,68223.0,28994.57825180425,0
redline,secondary-index-read,strict,64,5,1376.2392163974423,98.9900822372497,43531.8,3438.369846307986,51691.8,4301.864154061586,61842.2,6293.253784807983,72907.8,9401.183925442583,0
redline,secondary-index-read,strict,128,5,873.463940282202,50.15030987606036,135717.4,7514.156027126397,167653.4,7775.091304930121,205157.4,10004.246138515386,250597.4,18697.50990907613,0
redline,writers-disjoint,normal,1,5,25.82093799721532,2.332270081652374,34770.2,780.1046083699289,51013.4,7598.548071835829,61163.8,15354.70908874538,61163.8,15354.70908874538,0
redline,writers-disjoint,normal,2,5,44.15428118752272,0.8599849551039817,40274.2,1700.3115008727077,57381.4,2480.0929014857493,65311.0,3630.484265218622,68517.4,4334.163448694569,0
